จังหวัดในภาษาไทย,จังหวัดในภาษาอังกฤษ,ปี,ร้อยละ,คะแนนเฉลี่ย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี)
กรุงเทพมหานคร,Bangkok,2568,N/A,N/A,39.29,39.29,23.24,23.24,17.52,17.52,17.02,17.02,8.75,8.75,2.93,2.93,12.05,12.05,11.52,11.52,11,11,10.98,10.98
สมุทรปราการ,Samut Prakan,2568,N/A,N/A,26.1,26.1,27.3,27.3,24.43,24.43,20.97,20.97,7.1,7.1,1.21,1.21,10.97,10.97,10.6,10.6,10.22,10.22,9.94,9.94
นนทบุรี,Nonthaburi,2568,N/A,N/A,42.63,42.63,22.49,22.49,10.9,10.9,23.59,23.59,9.27,9.27,0.39,0.39,12.41,12.41,12.09,12.09,11.75,11.75,11.56,11.56
ปทุมธานี,Pathum Thani,2568,N/A,N/A,33.76,33.76,24.25,24.25,11.5,11.5,26.54,26.54,7.72,7.72,3.95,3.95,11.44,11.44,11.21,11.21,10.92,10.92,10.56,10.56
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2568,N/A,N/A,31.22,31.22,28.1,28.1,15.84,15.84,23.75,23.75,6.66,6.66,1.09,1.09,11.7,11.7,11.07,11.07,10.39,10.39,9.91,9.91
อ่างทอง,Ang Thong,2568,N/A,N/A,24.86,24.86,29.94,29.94,18.55,18.55,25.78,25.78,6.55,6.55,0.87,0.87,11.45,11.45,10.72,10.72,9.91,9.91,9.62,9.62
ลพบุรี,Lopburi,2568,N/A,N/A,26.93,26.93,24.79,24.79,21.6,21.6,25.48,25.48,6.4,6.4,1.2,1.2,11.47,11.47,10.59,10.59,9.62,9.62,9.5,9.5
สิงห์บุรี,Singburi,2568,N/A,N/A,34.33,34.33,30.79,30.79,13.69,13.69,19.87,19.87,7.28,7.28,1.32,1.32,12.17,12.17,11.42,11.42,10.61,10.61,10.33,10.33
ชัยนาท,Chainat,2568,N/A,N/A,27,27,26.03,26.03,23.8,23.8,21.71,21.71,5.8,5.8,1.47,1.47,11.45,11.45,10.45,10.45,9.38,9.38,9.22,9.22
สระบุรี,Saraburi,2568,N/A,N/A,27.68,27.68,26.58,26.58,18.77,18.77,25.22,25.22,5.91,5.91,1.75,1.75,11.08,11.08,10.59,10.59,10.03,10.03,9.39,9.39
ชลบุรี,Chonburi,2568,N/A,N/A,27.15,27.15,29.75,29.75,14.24,14.24,25.83,25.83,6.32,6.32,3.04,3.04,11.13,11.13,10.77,10.77,10.36,10.36,9.85,9.85
ระยอง,Rayong,2568,N/A,N/A,24.54,24.54,31.75,31.75,20.39,20.39,21.41,21.41,6.08,6.08,1.9,1.9,10.97,10.97,10.53,10.53,9.95,9.95,9.76,9.76
จันทบุรี,Chanthaburi,2568,N/A,N/A,23.43,23.43,22.44,22.44,27.08,27.08,25,25,5.6,5.6,2.05,2.05,11.05,11.05,10.18,10.18,9.19,9.19,9.29,9.29
ตราด,Trat,2568,N/A,N/A,23.38,23.38,20.48,20.48,24.05,24.05,22.3,22.3,5.49,5.49,9.79,9.79,10.34,10.34,9.45,9.45,8.47,8.47,8.68,8.68
ฉะเชิงเทรา,Chachoengsao,2568,N/A,N/A,23.23,23.23,33.89,33.89,15.65,15.65,26.35,26.35,6.03,6.03,0.87,0.87,11.43,11.43,10.78,10.78,9.9,9.9,9.96,9.96
ปราจีนบุรี,Prachinburi,2568,N/A,N/A,33.21,33.21,31.74,31.74,14.01,14.01,21.01,21.01,6.38,6.38,0.04,0.04,11.95,11.95,11.37,11.37,10.72,10.72,10.39,10.39
นครนายก,Nakhon Nayok,2568,N/A,N/A,25.89,25.89,27.92,27.92,20.3,20.3,22.87,22.87,6.8,6.8,3.01,3.01,11.08,11.08,10.47,10.47,9.8,9.8,9.76,9.76
สระแก้ว,Sa Kaeo,2568,N/A,N/A,18.2,18.2,26.06,26.06,28.01,28.01,24.97,24.97,4.92,4.92,2.76,2.76,10.8,10.8,9.68,9.68,8.45,8.45,8.75,8.75
นครราชสีมา,Nakhon Ratchasima,2568,N/A,N/A,20.83,20.83,27.67,27.67,25.73,25.73,23.32,23.32,5.65,5.65,2.45,2.45,10.87,10.87,9.99,9.99,8.91,8.91,8.73,8.73
บุรีรัมย์,Buriram,2568,N/A,N/A,19.05,19.05,31.35,31.35,26.44,26.44,22.41,22.41,5.08,5.08,0.76,0.76,11.46,11.46,10.07,10.07,8.4,8.4,8.6,8.6
สุรินทร์,Surin,2568,N/A,N/A,22.15,22.15,24.91,24.91,29.23,29.23,22.57,22.57,5.31,5.31,1.14,1.14,11.05,11.05,10.05,10.05,8.83,8.83,8.66,8.66
ศรีสะเกษ,Si Sa Ket,2568,N/A,N/A,17.71,17.71,28.42,28.42,32.16,32.16,20.42,20.42,4.89,4.89,1.29,1.29,11.04,11.04,9.77,9.77,8.23,8.23,8.33,8.33
อุบลราชธานี,Ubon Ratchathani,2568,N/A,N/A,16.22,16.22,26.73,26.73,34.81,34.81,20.99,20.99,5.43,5.43,1.25,1.25,10.8,10.8,9.44,9.44,7.79,7.79,8.26,8.26
ยโสธร,Yasothon,2568,N/A,N/A,14.77,14.77,22,22,32.87,32.87,29.72,29.72,5.43,5.43,0.64,0.64,10.62,10.62,9.4,9.4,7.93,7.93,8.23,8.23
ชัยภูมิ,Chaiyaphum,2568,N/A,N/A,19.11,19.11,26.85,26.85,30.34,30.34,22.67,22.67,5.24,5.24,1.03,1.03,10.88,10.88,9.78,9.78,8.46,8.46,8.45,8.45
อำนาจเจริญ,Amnat Charoen,2568,N/A,N/A,19.04,19.04,29.22,29.22,29.35,29.35,20.2,20.2,5.31,5.31,2.18,2.18,11.08,11.08,9.8,9.8,8.27,8.27,8.48,8.48
บึงกาฬ,Bueng Kan,2568,N/A,N/A,10.94,10.94,28.1,28.1,31.53,31.53,29.2,29.2,4.6,4.6,0.22,0.22,10.83,10.83,9.32,9.32,7.49,7.49,7.93,7.93
หนองบัวลำภู,Nong Bua Lamphu,2568,N/A,N/A,14.21,14.21,24.36,24.36,34.08,34.08,25.87,25.87,4.95,4.95,1.47,1.47,10.42,10.42,9.33,9.33,8.02,8.02,8.05,8.05
ขอนแก่น,Khon Kaen,2568,N/A,N/A,16.81,16.81,32.7,32.7,24.72,24.72,25.58,25.58,6.14,6.14,0.19,0.19,11.21,11.21,10.02,10.02,8.58,8.58,8.88,8.88
อุดรธานี,Udon Thani,2568,N/A,N/A,19.03,19.03,21.24,21.24,33.13,33.13,26.53,26.53,5.44,5.44,0.07,0.07,10.94,10.94,9.58,9.58,7.94,7.94,8.37,8.37
เลย,Loei,2568,N/A,N/A,17.93,17.93,27.08,27.08,27.55,27.55,26.39,26.39,5.59,5.59,1.05,1.05,10.72,10.72,9.9,9.9,8.91,8.91,8.64,8.64
หนองคาย,Nong Khai,2568,N/A,N/A,17.55,17.55,23.74,23.74,31.89,31.89,25.4,25.4,5.21,5.21,1.42,1.42,10.8,10.8,9.57,9.57,8.06,8.06,8.3,8.3
มหาสารคาม,Maha Sarakham,2568,N/A,N/A,20.38,20.38,30.6,30.6,25.86,25.86,22.34,22.34,5.51,5.51,0.82,0.82,11.22,11.22,10.21,10.21,9,9,8.83,8.83
ร้อยเอ็ด,Roi Et,2568,N/A,N/A,17.48,17.48,27.55,27.55,30.74,30.74,23.36,23.36,5.54,5.54,0.87,0.87,11.06,11.06,9.79,9.79,8.27,8.27,8.54,8.54
กาฬสินธุ์,Kalasin,2568,N/A,N/A,13.31,13.31,30.32,30.32,32.23,32.23,23.6,23.6,5.24,5.24,0.53,0.53,10.77,10.77,9.59,9.59,8.16,8.16,8.31,8.31
สกลนคร,Sakon Nakhon,2568,N/A,N/A,17.46,17.46,23.73,23.73,32.99,32.99,25.3,25.3,5.52,5.52,0.52,0.52,10.93,10.93,9.58,9.58,7.95,7.95,8.39,8.39
นครพนม,Nakhon Phanom,2568,N/A,N/A,17.17,17.17,26.84,26.84,31.36,31.36,24.26,24.26,5.44,5.44,0.37,0.37,10.99,10.99,9.77,9.77,8.29,8.29,8.5,8.5
มุกดาหาร,Mukdahan,2568,N/A,N/A,15.05,15.05,26.91,26.91,29.19,29.19,27.82,27.82,5.23,5.23,1.03,1.03,10.77,10.77,9.63,9.63,8.25,8.25,8.33,8.33
เชียงใหม่,Chiang Mai,2568,N/A,N/A,28.49,28.49,18.73,18.73,23.19,23.19,18.6,18.6,5.97,5.97,11,11,10.57,10.57,9.6,9.6,8.38,8.38,8.48,8.48
ลำพูน,Lamphun,2568,N/A,N/A,25.03,25.03,33.89,33.89,18.19,18.19,18.03,18.03,5.48,5.48,4.86,4.86,11.36,11.36,10.47,10.47,9.33,9.33,8.94,8.94
ลำปาง,Lampang,2568,N/A,N/A,33.05,33.05,25.23,25.23,20.93,20.93,19.3,19.3,5.59,5.59,1.5,1.5,12.13,12.13,10.91,10.91,9.48,9.48,9.19,9.19
อุตรดิตถ์,Uttaradit,2568,N/A,N/A,26.28,26.28,27.35,27.35,22.95,22.95,21.63,21.63,5.87,5.87,1.79,1.79,11.57,11.57,10.43,10.43,9.1,9.1,8.95,8.95
แพร่,Phrae,2568,N/A,N/A,33.16,33.16,26.97,26.97,19.06,19.06,20.51,20.51,6.22,6.22,0.29,0.29,12.03,12.03,11.17,11.17,10.18,10.18,9.57,9.57
น่าน,Nan,2568,N/A,N/A,22.96,22.96,27.67,27.67,23.3,23.3,21.86,21.86,5.25,5.25,4.21,4.21,11.16,11.16,10.08,10.08,8.82,8.82,8.52,8.52
พะเยา,Phayao,2568,N/A,N/A,29.1,29.1,29.87,29.87,20.89,20.89,18.78,18.78,4.97,4.97,1.35,1.35,11.95,11.95,10.87,10.87,9.61,9.61,8.96,8.96
เชียงราย,Chiang Rai,2568,N/A,N/A,15.36,15.36,25.73,25.73,28.48,28.48,23.5,23.5,4.16,4.16,6.93,6.93,10.67,10.67,9.01,9.01,7.04,7.04,7.46,7.46
แม่ฮ่องสอน,Mae Hong Son,2568,N/A,N/A,12.46,12.46,21.89,21.89,26.46,26.46,21.29,21.29,3.25,3.25,17.9,17.9,9.86,9.86,7.9,7.9,5.59,5.59,6.42,6.42
นครสวรรค์,Nakhon Sawan,2568,N/A,N/A,23.57,23.57,26.96,26.96,24.14,24.14,23.47,23.47,5.88,5.88,1.85,1.85,11.23,11.23,10.29,10.29,9.19,9.19,8.87,8.87
อุทัยธานี,Uthai Thani,2568,N/A,N/A,19.28,19.28,24.34,24.34,28.23,28.23,23.72,23.72,5.36,5.36,4.43,4.43,10.69,10.69,9.64,9.64,8.41,8.41,8.25,8.25
กำแพงเพชร,Kamphaeng Phet,2568,N/A,N/A,21.02,21.02,22.73,22.73,35.97,35.97,19.25,19.25,4.88,4.88,1.03,1.03,11.03,11.03,9.61,9.61,7.94,7.94,8.08,8.08
ตาก,Tak,2568,N/A,N/A,15.36,15.36,19.34,19.34,22.33,22.33,19.46,19.46,4.47,4.47,23.52,23.52,8.7,8.7,7.74,7.74,6.57,6.57,6.72,6.72
สุโขทัย,Sukhothai,2568,N/A,N/A,28.01,28.01,23.75,23.75,27.04,27.04,20.38,20.38,5.39,5.39,0.82,0.82,11.62,11.62,10.5,10.5,9.2,9.2,8.84,8.84
พิษณุโลก,Phitsanulok,2568,N/A,N/A,27.02,27.02,25.16,25.16,21.99,21.99,24.96,24.96,5.33,5.33,0.87,0.87,11.75,11.75,10.6,10.6,9.26,9.26,8.9,8.9
พิจิตร,Phichit,2568,N/A,N/A,23.93,23.93,25.95,25.95,24.07,24.07,24.4,24.4,5.3,5.3,1.65,1.65,11.2,11.2,10.24,10.24,9.1,9.1,8.67,8.67
เพชรบูรณ์,Phetchabun,2568,N/A,N/A,23.14,23.14,21.58,21.58,30.47,30.47,23.05,23.05,4.86,4.86,1.76,1.76,11.09,11.09,9.84,9.84,8.36,8.36,8.24,8.24
ราชบุรี,Ratchaburi,2568,N/A,N/A,21.63,21.63,23.51,23.51,30.03,30.03,20.59,20.59,5.86,5.86,4.24,4.24,10.32,10.32,9.59,9.59,8.71,8.71,8.59,8.59
กาญจนบุรี,Kanchanaburi,2568,N/A,N/A,19.53,19.53,22.18,22.18,27.71,27.71,21.79,21.79,4.5,4.5,8.78,8.78,10.14,10.14,9.18,9.18,8.08,8.08,7.88,7.88
สุพรรณบุรี,Suphanburi,2568,N/A,N/A,18.19,18.19,26.48,26.48,26.53,26.53,28.51,28.51,5.23,5.23,0.28,0.28,11.25,11.25,10.01,10.01,8.61,8.61,8.66,8.66
นครปฐม,Nakhon Pathom,2568,N/A,N/A,25.05,25.05,20.59,20.59,29.38,29.38,21.4,21.4,6.57,6.57,3.58,3.58,10.36,10.36,9.86,9.86,9.28,9.28,9.29,9.29
สมุทรสาคร,Samut Sakhon,2568,N/A,N/A,20.49,20.49,24.49,24.49,21.67,21.67,29.38,29.38,6.35,6.35,3.98,3.98,10.82,10.82,9.96,9.96,9.06,9.06,9.24,9.24
สมุทรสงคราม,Samut Songkhram,2568,N/A,N/A,27.39,27.39,24.19,24.19,26.91,26.91,19.26,19.26,7.04,7.04,2.26,2.26,10.69,10.69,10.26,10.26,9.72,9.72,9.41,9.41
เพชรบุรี,Phetchaburi,2568,N/A,N/A,25.26,25.26,29.24,29.24,21.91,21.91,21.21,21.21,6.77,6.77,2.38,2.38,10.97,10.97,10.58,10.58,10.12,10.12,9.53,9.53
ประจวบคีรีขันธ์,Prachuap Khiri Khan,2568,N/A,N/A,23.33,23.33,22.12,22.12,27.25,27.25,22.05,22.05,6.71,6.71,5.26,5.26,10.15,10.15,9.74,9.74,9.23,9.23,8.93,8.93
นครศรีธรรมราช,Nakhon Si Thammarat,2568,N/A,N/A,29.85,29.85,24.38,24.38,22.38,22.38,21.81,21.81,6.22,6.22,1.58,1.58,11.32,11.32,10.64,10.64,9.82,9.82,9.64,9.64
กระบี่,Krabi,2568,N/A,N/A,21.88,21.88,23.46,23.46,27.24,27.24,23.15,23.15,5.09,5.09,4.26,4.26,10.61,10.61,9.8,9.8,8.75,8.75,8.77,8.77
พังงา,Phang Nga,2568,N/A,N/A,21.75,21.75,23.67,23.67,32,32,19.68,19.68,5.92,5.92,2.9,2.9,10.46,10.46,9.73,9.73,8.76,8.76,8.9,8.9
ภูเก็ต,Phuket,2568,N/A,N/A,29.01,29.01,28.56,28.56,17.16,17.16,21.33,21.33,7.92,7.92,3.94,3.94,10.93,10.93,10.75,10.75,10.51,10.51,10.15,10.15
สุราษฎร์ธานี,Surat Thani,2568,N/A,N/A,25.23,25.23,25.58,25.58,23.24,23.24,23.66,23.66,6.76,6.76,2.29,2.29,10.9,10.9,10.32,10.32,9.53,9.53,9.57,9.57
ระนอง,Ranong,2568,N/A,N/A,14.08,14.08,19.4,19.4,41.35,41.35,23.54,23.54,5.82,5.82,1.64,1.64,9.28,9.28,8.93,8.93,8.43,8.43,8.3,8.3
ชุมพร,Chumphon,2568,N/A,N/A,23.51,23.51,27.77,27.77,25.39,25.39,21.78,21.78,6.6,6.6,1.56,1.56,11.07,11.07,10.18,10.18,8.91,8.91,9.43,9.43
สงขลา,Songkhla,2568,N/A,N/A,31.55,31.55,23.8,23.8,23.17,23.17,20.32,20.32,6.56,6.56,1.16,1.16,11.4,11.4,10.77,10.77,9.96,9.96,9.83,9.83
สตูล,Satun,2568,N/A,N/A,23.75,23.75,29.03,29.03,28.58,28.58,17.95,17.95,5.89,5.89,0.69,0.69,11.07,11.07,10.33,10.33,9.43,9.43,9.31,9.31
ตรัง,Trang,2568,N/A,N/A,25.8,25.8,23.93,23.93,27.76,27.76,20.4,20.4,5.92,5.92,2.12,2.12,10.79,10.79,10.16,10.16,9.37,9.37,9.2,9.2
พัทลุง,Phatthalung,2568,N/A,N/A,27.19,27.19,30.72,30.72,20.28,20.28,20.75,20.75,6.4,6.4,1.07,1.07,11.34,11.34,10.82,10.82,10.2,10.2,9.8,9.8
ปัตตานี,Pattani,2568,N/A,N/A,20.9,20.9,24.36,24.36,27.3,27.3,20.04,20.04,5.41,5.41,7.39,7.39,10.53,10.53,9.52,9.52,8.3,8.3,8.58,8.58
ยะลา,Yala,2568,N/A,N/A,18.14,18.14,30.15,30.15,28.61,28.61,21.96,21.96,5.56,5.56,1.14,1.14,10.94,10.94,9.96,9.96,8.77,8.77,9,9
นราธิวาส,Narathiwat,2568,N/A,N/A,19.26,19.26,22.17,22.17,37.42,37.42,16.97,16.97,4.26,4.26,4.17,4.17,10.29,10.29,9.31,9.31,8.14,8.14,8.15,8.15
ประเทศไทย,Thailand,2568,N/A,N/A,26.14,26.14,25.62,25.62,23.56,23.56,22.1,22.1,6.13,6.13,2.58,2.58,11.18,11.18,10.39,10.39,9.47,9.47,9.33,9.33
กรุงเทพมหานคร,Bangkok,2567,N/A,N/A,41.25,21.83,21.83,16.96,16.99,2.98,16.96,16.99,N/A,9.02,2.98,2.98,N/A,12.1,N/A,11.64,N/A,11.18,N/A,11.15
สมุทรปราการ,Samut Prakan,2567,N/A,N/A,25.58,27.19,27.19,23.76,23.04,0.43,23.76,23.04,N/A,7.38,0.43,0.43,N/A,10.84,N/A,10.7,N/A,10.56,N/A,10.09
นนทบุรี,Nonthaburi,2567,N/A,N/A,35.75,23.18,23.18,24.41,16.01,0.66,24.41,16.01,N/A,9.31,0.66,0.66,N/A,11.78,N/A,11.45,N/A,11.09,N/A,11.06
ปทุมธานี,Pathum Thani,2567,N/A,N/A,29.77,24.5,24.5,24.41,18.94,2.38,24.41,18.94,N/A,7.97,2.38,2.38,N/A,10.97,N/A,10.78,N/A,10.57,N/A,10.29
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2567,N/A,N/A,31.9,28.07,28.07,22.17,15.98,1.88,22.17,15.98,N/A,6.79,1.88,1.88,N/A,11.74,N/A,11.06,N/A,10.32,N/A,9.98
อ่างทอง,Ang Thong,2567,N/A,N/A,24.03,31.37,31.37,23.66,19.65,1.29,23.66,19.65,N/A,5.75,1.29,1.29,N/A,11.5,N/A,10.63,N/A,9.68,N/A,9.38
ลพบุรี,Lopburi,2567,N/A,N/A,27.49,25.55,25.55,22.39,23.75,0.82,22.39,23.75,N/A,6.28,0.82,0.82,N/A,11.5,N/A,10.62,N/A,9.64,N/A,9.52
สิงห์บุรี,Singburi,2567,N/A,N/A,32.69,31.78,31.78,18.59,15.89,1.06,18.59,15.89,N/A,7.05,1.06,1.06,N/A,12.28,N/A,11.28,N/A,10.18,N/A,10.2
ชัยนาท,Chainat,2567,N/A,N/A,26.71,26.2,26.2,21.32,23.78,1.99,21.32,23.78,N/A,5.47,1.99,1.99,N/A,11.38,N/A,10.41,N/A,9.36,N/A,9.14
สระบุรี,Saraburi,2567,N/A,N/A,26.09,25.43,25.43,26.4,20.87,1.21,26.4,20.87,N/A,5.91,1.21,1.21,N/A,11.18,N/A,10.46,N/A,9.64,N/A,9.32
ชลบุรี,Chonburi,2567,N/A,N/A,27.09,24.83,24.83,24.09,20.97,3.01,24.09,20.97,N/A,6.11,3.01,3.01,N/A,10.78,N/A,10.36,N/A,9.9,N/A,9.49
ระยอง,Rayong,2567,N/A,N/A,26.77,30.25,30.25,20.08,20.42,2.49,20.08,20.42,N/A,5.55,2.49,2.49,N/A,10.96,N/A,10.58,N/A,10.09,N/A,9.73
จันทบุรี,Chanthaburi,2567,N/A,N/A,23.29,22.56,22.56,21.62,25.02,7.5,21.62,25.02,N/A,5.14,7.5,7.5,N/A,10.57,N/A,9.74,N/A,8.81,N/A,8.89
ตราด,Trat,2567,N/A,N/A,21.47,20.88,20.88,20.11,32.74,4.81,20.11,32.74,N/A,5.77,4.81,4.81,N/A,10.12,N/A,9.37,N/A,8.55,N/A,8.69
ฉะเชิงเทรา,Chachoengsao,2567,N/A,N/A,14.88,28.06,28.06,36.66,19.5,0.91,36.66,19.5,N/A,5.83,0.91,0.91,N/A,10.7,N/A,9.97,N/A,9.03,N/A,9.26
ปราจีนบุรี,Prachinburi,2567,N/A,N/A,25.94,30.97,30.97,23.24,18.85,1.01,23.24,18.85,N/A,5.59,1.01,1.01,N/A,11.53,N/A,10.72,N/A,9.83,N/A,9.75
นครนายก,Nakhon Nayok,2567,N/A,N/A,24.53,28.47,28.47,23.6,20.93,2.47,23.6,20.93,N/A,6.41,2.47,2.47,N/A,11.03,N/A,10.44,N/A,9.78,N/A,9.69
สระแก้ว,Sa Kaeo,2567,N/A,N/A,18.27,22.92,22.92,23.57,31.37,3.87,23.57,31.37,N/A,4.94,3.87,3.87,N/A,10.68,N/A,9.3,N/A,7.77,N/A,8.47
นครราชสีมา,Nakhon Ratchasima,2567,N/A,N/A,20.39,26.01,26.01,24.83,27.67,1.1,24.83,27.67,N/A,5.13,1.1,1.1,N/A,11.11,N/A,9.98,N/A,8.64,N/A,8.61
บุรีรัมย์,Buriram,2567,N/A,N/A,19.56,28.61,28.61,19.03,31.91,0.9,19.03,31.91,N/A,4.71,0.9,0.9,N/A,11.16,N/A,9.77,N/A,8.16,N/A,8.33
สุรินทร์,Surin,2567,N/A,N/A,18.97,27.87,27.87,21.7,30.19,1.26,21.7,30.19,N/A,4.97,1.26,1.26,N/A,10.97,N/A,9.82,N/A,8.48,N/A,8.44
ศรีสะเกษ,Si Sa Ket,2567,N/A,N/A,14.81,28.4,28.4,21.71,34.92,0.16,21.71,34.92,N/A,5.04,0.16,0.16,N/A,10.79,N/A,9.56,N/A,8.14,N/A,8.28
อุบลราชธานี,Ubon Ratchathani,2567,N/A,N/A,16.51,22.77,22.77,24.55,34.84,1.33,24.55,34.84,N/A,5.23,1.33,1.33,N/A,10.66,N/A,9.34,N/A,7.8,N/A,8.17
ยโสธร,Yasothon,2567,N/A,N/A,11.39,22.06,22.06,29.18,36.64,0.74,29.18,36.64,N/A,5.08,0.74,0.74,N/A,10.4,N/A,9.1,N/A,7.59,N/A,7.96
ชัยภูมิ,Chaiyaphum,2567,N/A,N/A,20.78,25.84,25.84,22.57,29.53,1.28,22.57,29.53,N/A,5.59,1.28,1.28,N/A,10.98,N/A,9.89,N/A,8.61,N/A,8.66
อำนาจเจริญ,Amnat Charoen,2567,N/A,N/A,20.54,24.46,24.46,20.95,33.68,0.37,20.95,33.68,N/A,4.99,0.37,0.37,N/A,11.19,N/A,9.75,N/A,8.08,N/A,8.4
บึงกาฬ,Bueng Kan,2567,N/A,N/A,11.37,26.27,26.27,29.11,33.25,0,29.11,33.25,N/A,5,0,0,N/A,10.63,N/A,9.28,N/A,7.72,N/A,8.07
หนองบัวลำภู,Nong Bua Lamphu,2567,N/A,N/A,17.5,24.5,24.5,22.98,33.83,1.18,22.98,33.83,N/A,5.03,1.18,1.18,N/A,10.85,N/A,9.53,N/A,7.98,N/A,8.24
ขอนแก่น,Khon Kaen,2567,N/A,N/A,19.58,28.92,28.92,25.51,25.8,0.19,25.51,25.8,N/A,5.56,0.19,0.19,N/A,11.41,N/A,10.06,N/A,8.48,N/A,8.78
อุดรธานี,Udon Thani,2567,N/A,N/A,17.83,22.48,22.48,23.85,35.39,0.45,23.85,35.39,N/A,5.3,0.45,0.45,N/A,10.87,N/A,9.42,N/A,7.72,N/A,8.25
เลย,Loei,2567,N/A,N/A,17.77,28.58,28.58,22.42,29.36,1.87,22.42,29.36,N/A,5.2,1.87,1.87,N/A,10.95,N/A,9.82,N/A,8.5,N/A,8.51
หนองคาย,Nong Khai,2567,N/A,N/A,18.01,22.27,22.27,24.79,33.23,1.69,24.79,33.23,N/A,5.46,1.69,1.69,N/A,10.7,N/A,9.43,N/A,7.93,N/A,8.31
มหาสารคาม,Maha Sarakham,2567,N/A,N/A,17.89,31.13,31.13,20.2,30.19,0.58,20.2,30.19,N/A,5.15,0.58,0.58,N/A,11.23,N/A,10.01,N/A,8.6,N/A,8.63
ร้อยเอ็ด,Roi Et,2567,N/A,N/A,19.75,25.3,25.3,25.78,28.83,0.34,25.78,28.83,N/A,5.41,0.34,0.34,N/A,11.19,N/A,9.99,N/A,8.59,N/A,8.68
กาฬสินธุ์,Kalasin,2567,N/A,N/A,14.36,30.48,30.48,20.09,34.9,0.17,20.09,34.9,N/A,5.06,0.17,0.17,N/A,11,N/A,9.62,N/A,8.01,N/A,8.32
สกลนคร,Sakon Nakhon,2567,N/A,N/A,16.54,22.35,22.35,27.51,33.06,0.54,27.51,33.06,N/A,5.16,0.54,0.54,N/A,10.83,N/A,9.43,N/A,7.81,N/A,8.22
นครพนม,Nakhon Phanom,2567,N/A,N/A,15.87,28.02,28.02,21.71,33.18,1.22,21.71,33.18,N/A,5.4,1.22,1.22,N/A,10.73,N/A,9.5,N/A,8.07,N/A,8.34
มุกดาหาร,Mukdahan,2567,N/A,N/A,15.21,22.88,22.88,26.27,35.11,0.53,26.27,35.11,N/A,4.98,0.53,0.53,N/A,10.52,N/A,9.31,N/A,7.91,N/A,8.08
เชียงใหม่,Chiang Mai,2567,N/A,N/A,28.67,18.05,18.05,15.59,26.43,11.25,15.59,26.43,N/A,5.6,11.25,11.25,N/A,10.36,N/A,9.45,N/A,8.33,N/A,8.3
ลำพูน,Lamphun,2567,N/A,N/A,24.88,29.95,29.95,18.97,20.29,5.91,18.97,20.29,N/A,5.27,5.91,5.91,N/A,11.28,N/A,10.18,N/A,8.82,N/A,8.71
ลำปาง,Lampang,2567,N/A,N/A,29.73,25.41,25.41,19.69,22.73,2.44,19.69,22.73,N/A,5.46,2.44,2.44,N/A,11.55,N/A,10.45,N/A,9.18,N/A,8.88
