จังหวัดในภาษาไทย,จังหวัดในภาษาอังกฤษ,ปี,ร้อยละ,คะแนนเฉลี่ย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) อุดมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนปลาย,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ประถมศึกษา,ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) มัธยมศึกษาตอนต้น,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 60 ปีขึ้นไป (หน่วย: ปี),ร้อยละ ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,คะแนนเฉลี่ย ร้อยละของระดับการศึกษาของประชากรวัยแรงงาน (15-59 ปี) ต่ำกว่าประถม,ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-39 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 40-59 ปี (หน่วย: ปี),ร้อยละ ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี),คะแนนเฉลี่ย ปีการศึกษาเฉลี่ยของประชากร 15 ปีขึ้นไป (หน่วย: ปี)
แพร่,Phrae,2563,N/A,N/A,23.29,25.25,25.25,16.71,33.31,1.44,16.71,33.31,N/A,5.08,1.44,1.44,N/A,11.56,N/A,9.76,N/A,8.41,N/A,8.25
น่าน,Nan,2563,N/A,N/A,19.27,27.28,27.28,16.25,34.1,3.1,16.25,34.1,N/A,4.6,3.1,3.1,N/A,11.52,N/A,9.52,N/A,7.91,N/A,8.06
พะเยา,Phayao,2563,N/A,N/A,19.7,25.24,25.24,16.51,35.67,2.87,16.51,35.67,N/A,4.39,2.87,2.87,N/A,11.32,N/A,9.31,N/A,7.72,N/A,7.87
เชียงราย,Chiang Rai,2563,N/A,N/A,20.43,17.6,17.6,17.02,37.77,7.17,17.02,37.77,N/A,4.3,7.17,7.17,N/A,10.84,N/A,8.63,N/A,6.41,N/A,7.48
แม่ฮ่องสอน,Mae Hong Son,2563,N/A,N/A,12.16,19.7,19.7,17.4,25.7,25.04,17.4,25.7,N/A,2.29,25.04,25.04,N/A,8.63,N/A,7.2,N/A,5.02,N/A,6.11
นครสวรรค์,Nakhon Sawan,2563,N/A,N/A,21.36,21.33,21.33,18.95,35.59,2.77,18.95,35.59,N/A,5.09,2.77,2.77,N/A,10.94,N/A,9.39,N/A,7.76,N/A,8.08
อุทัยธานี,Uthai Thani,2563,N/A,N/A,18.62,22.09,22.09,19.38,32.7,7.21,19.38,32.7,N/A,4.83,7.21,7.21,N/A,10.99,N/A,9.06,N/A,7.22,N/A,7.65
กำแพงเพชร,Kamphaeng Phet,2563,N/A,N/A,16.89,16.54,16.54,22.32,41.14,3.1,22.32,41.14,N/A,4.11,3.1,3.1,N/A,10.48,N/A,8.68,N/A,6.68,N/A,7.4
ตาก,Tak,2563,N/A,N/A,16.49,18.31,18.31,20.43,28.76,16.01,20.43,28.76,N/A,4.32,16.01,16.01,N/A,9.19,N/A,7.99,N/A,6.18,N/A,7.15
สุโขทัย,Sukhothai,2563,N/A,N/A,19.32,20.76,20.76,18.59,39.89,1.44,18.59,39.89,N/A,4.64,1.44,1.44,N/A,11.1,N/A,9.2,N/A,7.52,N/A,7.75
พิษณุโลก,Phitsanulok,2563,N/A,N/A,23.92,24.85,24.85,21.78,28.05,1.39,21.78,28.05,N/A,5.15,1.39,1.39,N/A,11.31,N/A,10.05,N/A,8.58,N/A,8.68
พิจิตร,Phichit,2563,N/A,N/A,20.27,21.27,21.27,23.61,33.14,1.7,23.61,33.14,N/A,4.79,1.7,1.7,N/A,11.02,N/A,9.51,N/A,8.1,N/A,7.95
เพชรบูรณ์,Phetchabun,2563,N/A,N/A,15.96,21.37,21.37,21.99,37.8,2.88,21.99,37.8,N/A,4.4,2.88,2.88,N/A,10.62,N/A,8.92,N/A,7.14,N/A,7.58
ราชบุรี,Ratchaburi,2563,N/A,N/A,19.24,20.68,20.68,20.55,34.55,4.99,20.55,34.55,N/A,5.02,4.99,4.99,N/A,10,N/A,9.08,N/A,8.03,N/A,8.05
กาญจนบุรี,Kanchanaburi,2563,N/A,N/A,18.29,19.84,19.84,18.23,35.82,7.83,18.23,35.82,N/A,4.34,7.83,7.83,N/A,9.7,N/A,8.73,N/A,7.54,N/A,7.78
สุพรรณบุรี,Suphanburi,2563,N/A,N/A,14.18,18.5,18.5,21.99,44.07,1.26,21.99,44.07,N/A,4.71,1.26,1.26,N/A,10.34,N/A,8.75,N/A,7.29,N/A,7.58
นครปฐม,Nakhon Pathom,2563,N/A,N/A,19.77,18.77,18.77,23.11,31.28,7.07,23.11,31.28,N/A,5.52,7.07,7.07,N/A,9.61,N/A,9.11,N/A,8.59,N/A,8.42
สมุทรสาคร,Samut Sakhon,2563,N/A,N/A,26.6,19.19,19.19,22.13,23.25,8.83,22.13,23.25,N/A,4.82,8.83,8.83,N/A,10.32,N/A,9.66,N/A,8.49,N/A,9.08
สมุทรสงคราม,Samut Songkhram,2563,N/A,N/A,21.29,21.22,21.22,20.34,29.06,8.09,20.34,29.06,N/A,5.88,8.09,8.09,N/A,9.99,N/A,9.26,N/A,8.5,N/A,8.26
เพชรบุรี,Phetchaburi,2563,N/A,N/A,22.79,23.36,23.36,21.15,31.3,1.41,21.15,31.3,N/A,5.6,1.41,1.41,N/A,10.88,N/A,9.85,N/A,8.64,N/A,8.77
ประจวบคีรีขันธ์,Prachuap Khiri Khan,2563,N/A,N/A,17.83,22.52,22.52,19.26,35.07,5.32,19.26,35.07,N/A,5.23,5.32,5.32,N/A,9.92,N/A,9.08,N/A,8,N/A,8.32
นครศรีธรรมราช,Nakhon Si Thammarat,2563,N/A,N/A,23.54,19.25,19.25,22.12,33.29,1.8,22.12,33.29,N/A,5.2,1.8,1.8,N/A,10.69,N/A,9.72,N/A,8.69,N/A,8.59
กระบี่,Krabi,2563,N/A,N/A,20.01,21.94,21.94,21.38,34.86,1.81,21.38,34.86,N/A,4.98,1.81,1.81,N/A,10.32,N/A,9.48,N/A,8.34,N/A,8.73
พังงา,Phang Nga,2563,N/A,N/A,19.04,17.61,17.61,21.44,36.09,5.83,21.44,36.09,N/A,5.08,5.83,5.83,N/A,9.96,N/A,9.02,N/A,7.86,N/A,8.28
ภูเก็ต,Phuket,2563,N/A,N/A,29.75,23.61,23.61,21.89,23.57,1.18,21.89,23.57,N/A,6.37,1.18,1.18,N/A,11.1,N/A,10.64,N/A,9.87,N/A,10.1
สุราษฎร์ธานี,Surat Thani,2563,N/A,N/A,20.52,23.81,23.81,21.66,30.26,3.76,21.66,30.26,N/A,5.98,3.76,3.76,N/A,10.43,N/A,9.67,N/A,8.69,N/A,8.98
ระนอง,Ranong,2563,N/A,N/A,17.11,21.76,21.76,20.61,32.62,7.89,20.61,32.62,N/A,5.1,7.89,7.89,N/A,9.29,N/A,8.72,N/A,7.84,N/A,8.21
ชุมพร,Chumphon,2563,N/A,N/A,15.46,21.07,21.07,26.45,31.14,5.89,26.45,31.14,N/A,5.79,5.89,5.89,N/A,9.69,N/A,8.91,N/A,7.97,N/A,8.28
สงขลา,Songkhla,2563,N/A,N/A,30.11,22.6,22.6,19.1,26.66,1.53,19.1,26.66,N/A,5.33,1.53,1.53,N/A,11.3,N/A,10.44,N/A,9.29,N/A,9.43
สตูล,Satun,2563,N/A,N/A,19.94,25.65,25.65,18.59,34.24,1.58,18.59,34.24,N/A,4.98,1.58,1.58,N/A,10.58,N/A,9.65,N/A,8.43,N/A,8.8
ตรัง,Trang,2563,N/A,N/A,20.52,19.95,19.95,19.86,38.29,1.38,19.86,38.29,N/A,4.93,1.38,1.38,N/A,10.43,N/A,9.4,N/A,8.24,N/A,8.49
พัทลุง,Phatthalung,2563,N/A,N/A,22.77,25.42,25.42,19.8,31.4,0.61,19.8,31.4,N/A,5.21,0.61,0.61,N/A,11.17,N/A,9.99,N/A,8.81,N/A,8.75
ปัตตานี,Pattani,2563,N/A,N/A,15.16,25.24,25.24,19.73,35.38,4.49,19.73,35.38,N/A,3.73,4.49,4.49,N/A,10.12,N/A,9.01,N/A,7.32,N/A,7.96
ยะลา,Yala,2563,N/A,N/A,12.64,34.57,34.57,22.18,29.8,0.81,22.18,29.8,N/A,3.88,0.81,0.81,N/A,10.59,N/A,9.6,N/A,8.19,N/A,8.66
นราธิวาส,Narathiwat,2563,N/A,N/A,14.98,19.37,19.37,19.53,37.03,9.09,19.53,37.03,N/A,3.46,9.09,9.09,N/A,9.43,N/A,8.36,N/A,6.82,N/A,7.49
ประเทศไทย,Thailand,2563,N/A,N/A,24.23,22.16,22.16,20.48,30.21,2.92,20.48,30.21,N/A,5.42,2.92,2.92,N/A,10.97,N/A,9.86,N/A,8.59,N/A,8.86
กรุงเทพมหานคร,Bangkok,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
สมุทรปราการ,Samut Prakan,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
นนทบุรี,Nonthaburi,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
ปทุมธานี,Pathum Thani,2562,N/A,N/A,,,,,,,,,,,,,,,,,,,,
